,BODY SENSATION,EYES - DRY LEAF,EYES - LIQUOR,EYES - WET LEAF,GongFu Additional Seconds,GongFu First Infusion Seconds,GongFu No Infusions,GongFu g per 100ml,Link,MOUTH - FINISH,MOUTH - TASTE,MOUTH - TEXTURE,NOSE - DRY LEAF,NOSE - EMPTY CUP,NOSE - WET LEAF,Name,Number of Reviews,Price per Gram,Score,Type,Water Temperature,Western Additional Seconds,Western First Infusion Seconds,Western No Infusions,Western g per 100ml
50,Enchanting and slightly high.,Grey nori green tight rolled leaves.,Grape juice yellow.,Large unravelled kale green leaves.,5.0,20.0,9.0,6.0,https://meileaf.com/p/tea-acoc/,Buttery with a light grip.,"Papaya milk, custard, toasted marshmallow, apricots and oregano.",Medium.,Toasted barley and malted milk,Creme brulee.,Tinned peaches and cream with toasted pound cake.,Alishan Cream,706.0,0.17,88.0,Oolong,95.0,30.0,120.0,3.0,1.0
51,Warm and calming.,Hazel brown broken larger leaves and stems.,Violin resin amber brown liquor.,Glossy gun metal brown broken leaves.,5.0,15.0,7.0,3.0,https://meileaf.com/p/tea-hjcc/,Tingly and cooling with a dry finish.,"Caramel soya sauce, hay and poached pears.",Medium bodied with catching dryness.,Sweet soy japanese rice crackers and roasted barley.,Red bean pancakes.,Dark oven roast potato skins and a whisper of mangosteen sweetness.,Houjicha,292.0,100.0,86.0,Green,95.0,30.0,120.0,3.0,0.0
52,Calming and nourishing.,Curly spiralled khaki green leaves.,Olive oil green.,Khaki green leaves.,15.0,30.0,5.0,2.0,https://meileaf.com/p/tea-amac/,Soft finish.,Herbal and medicinal taste with a bitter sweet liquorice flavour.,Light and thin.,Herbaceous and sweet.,Liquorice sweet aroma.,Slight liquorice sweetness.,Amachazuru Five Leaf Loose Tea,159.0,0.15,85.0,Tisanes,99.0,60.0,120.0,2.0,0.0
53,Centering and purifying.,Pumpkin seed green straight shape bud and leaves.,Grape juice yellow.,Pale silver olive green buds and baby leaves.,10.0,60.0,5.0,3.0,https://meileaf.com/p/tea-ammc/,Smooth to dry to juicy,Fresh pear with morning dew and juicy fruit candy aroma.,"Thin to medium, smooth and fresh.",Fresh meadows and morning dew.,Very light aroma of grassy fields.,Fresh cut grass and green beans.,Amber Mountain,495.0,0.38,87.0,Yellow,75.0,60.0,120.0,3.0,0.0
54,N/A,N/A,N/A,N/A,60.0,180.0,2.0,2.0,https://meileaf.com/p/tea-danc/,N/A,N/A,N/A,N/A,N/A,N/A,Angelica Root,21.0,0.05,84.0,Herbs,99.0,,,,
55,Satisfying and calming.,"Twisted, small, purple black leaves with dusky pink roses.",Orange burgundy brown.,Cafe au lait brown buds and small leaves.,5.0,10.0,8.0,4.0,https://meileaf.com/p/tea-exmc/,Soft with a lingering sweetness.,"Wood oven baked dark chocolate brownies, rose and golden syrup,",Medium and velvety.,Malt loaf and roses.,Raisin malt loaf.,Rose and dark baked chocolate brownies.,Black Rose,176.0,0.11,86.0,Blend,90.0,60.0,120.0,4.0,0.0
56,"Easy drinking, relaxing and brightening.",Silver grey buds and pastel yellow flowers.,Chardonnay yellow.,"Silver green, yellow and brown blend of buds and flowers.",10.0,30.0,5.0,3.0,https://meileaf.com/p/tea-floc/,Lightly perfumed and slightly juicy.,"Wild strawberries, jasmine and river pebbles.",Medium.,Jasmine and lemon drops.,Light summer meadows.,Lemon curd and Ylang Ylang.,White Blossom,37.0,0.2,82.0,Blend,90.0,30.0,180.0,3.0,0.0
57,N/A,N/A,N/A,N/A,60.0,180.0,2.0,1.0,https://meileaf.com/p/tea-fxyc/,N/A,N/A,N/A,N/A,N/A,N/A,Senna Leaves,15.0,0.03,79.0,Herbs,99.0,,,,
58,Refreshing yet comforting.,Coiled gold and copper buds with a fine sheen of hairs.,Dusky amber liquor.,Shiny rusty brown buds and young leaves.,5.0,20.0,8.0,4.0,https://meileaf.com/p/tea-gdbc/,Soft with minty freshness.,"Dark caramel, malt and chocolate biscuits.","Soft, velvety, thick and clean.",Malted chocolate shake and hay.,Dark baked apple crumble.,"Dark rye bread and honey, black pepper and blackcurrants.",Golden Bud,461.0,0.23,88.0,Black,95.0,60.0,120.0,3.0,0.0
59,Bright and clear.,Large yellow green fan leaves.,Pale pink yellow,Khaki large leaves.,5.0,15.0,5.0,1.0,https://meileaf.com/p/tea-ginc/,Clean.,Hints of marine water with medicinal herbs and a lingering sweetness.,Thin.,Slight liquorice and summer forests.,liquorice.,Marine air.,Ginkgo Leaf Tips,39.0,0.13,89.0,Tisanes,99.0,30.0,120.0,2.0,0.0
60,N/A,N/A,N/A,N/A,60.0,180.0,2.0,1.0,https://meileaf.com/p/tea-gqzc/,N/A,N/A,N/A,N/A,N/A,N/A,Gou Ji Berries,36.0,0.04,94.0,Herbs,99.0,,,,
61,Cooling and destressing.,Pale golden lemon yellow flowers.,Bright pale green yellow.,Pale yellow flowers.,5.0,15.0,5.0,1.0,https://meileaf.com/p/tea-juhc/,Short and refreshing.,Sherbet sweets and floral meadow air.,Light and thin.,Sweet lemons.,Lemon and chamomile.,Floral sweet soapiness and sherbet.,Chrysanthemum Flowers,114.0,0.2,89.0,Tisanes,99.0,30.0,120.0,2.0,0.0
62,Purifying.,Hay yellow flowers.,Bright pale yellow.,Wet hay yellow.,5.0,15.0,5.0,1.0,https://meileaf.com/p/tea-jyhc/,Light and juicy.,"Custard powder, buttercups and fresh reams of paper.",Thin.,Cut wood and pale honey.,Soft fudge.,Cut wood and rubber plantations.,Honeysuckle Flowers,44.0,0.11,82.0,Tisanes,99.0,30.0,120.0,2.0,0.0
63,N/A,N/A,N/A,N/A,60.0,180.0,2.0,2.0,https://meileaf.com/p/tea-mmdc/,N/A,N/A,N/A,N/A,N/A,N/A,Creeping Lily Turf Root,6.0,0.06,86.0,Herbs,99.0,,,,
64,Uplifting and bright.,Loose rolled dark green tea mixed with yellow osmanthus.,Light butter yellow.,Broken large sea green leaves.,5.0,25.0,9.0,6.0,https://meileaf.com/p/tea-osmc/,Dry with slight juiciness.,"Raw almond and butter start, sweet osmanthus middle and fresh green grass finish.",Medium to thick body.,"Dried apricot, almond and sweet, pale flowers.",Apricot and almond cookies.,"Pinewood resin, cardamon and dried apricots.",Osmanthus Oolong,342.0,0.14,83.0,Blend,99.0,30.0,120.0,3.0,1.0
65,N/A,N/A,N/A,N/A,60.0,180.0,2.0,1.0,https://meileaf.com/p/tea-pdhc/,N/A,N/A,N/A,N/A,N/A,N/A,Boat Sterculia,24.0,0.09,93.0,Herbs,99.0,,,,
66,Uplifting.,Dried thyme green cut leaves.,Dusky orange brown.,Olive and light green cut leaves.,5.0,15.0,5.0,1.0,https://meileaf.com/p/tea-pepc/,Clean and cooling.,"Sweet, cooling mint and dried grass.",Ultra thin.,Mature minty sweetness.,Herbal lozenges.,Toffee mints.,Peppermint Leaf,52.0,0.1,89.0,Tisanes,99.0,30.0,120.0,2.0,0.0
67,Cleansing.,Cannabis green cut leaves with almond brown stems.,Vibrant rose tinted golden yellow.,Moss green and brown leaves.,5.0,15.0,5.0,1.0,https://meileaf.com/p/tea-pgyc/,Dry.,Fresh dried hay and herbal bitters.,Thin.,"liquorice, mint and drying hay.",Rainy farm.,Clean stable.,Dandelion Leaf,33.0,0.15,84.0,Tisanes,99.0,30.0,120.0,2.0,0.0
68,Bright and warming.,Irregular black olive rolled pellets.,Golden orange.,Full medium leaves dark olive green with roughened edges.,5.0,25.0,9.0,6.0,https://meileaf.com/p/tea-rivc/,Slightly dry with a very long sweetness.,Hazelnut syrup with a creamy nougat flavour.,Thick and soft.,Sweet liquorice.,Burnt toffee.,Sweet orange candy.,River High,294.0,0.13,87.0,Blend,99.0,30.0,120.0,5.0,1.0
69,Cooling and clearing.,Pale to fuschia pink petals with cannabis green stems.,Clear and very pink green.,"Dusky, beige pink and fuchsia petals.",5.0,15.0,5.0,3.0,https://meileaf.com/p/tea-rosc/,Fresh and clean.,"Delicate, bright and zesty rose.","Soft , medium texture.",Sweet rose and grapefruits.,Herbal and floral.,Geranium and cooked apple and berry compote.,Rose Buds,39.0,0.23,92.0,Tisanes,99.0,30.0,120.0,2.0,0.0
70,Relaxing and cooling.,"Army green small, baby leaves.",Very pale chartreuse green liquor.,Lime green leaves.,15.0,30.0,5.0,1.0,https://meileaf.com/p/tea-wbtc/,Cleansing light finish.,Lemon sherbet to zesty bitterness moving to an floral sweetness.,Light and fresh.,Light and fresh meadowy aroma.,Fresh air and star anise.,Fresh mountain streams and summer air.,Baby Leaf Kuding,85.0,0.13,81.0,Tisanes,90.0,60.0,120.0,2.0,0.0
71,"Bright, uplifting and a gently energising.",Pale beige and silver green buds.,Green grape juice.,Pear green buds.,10.0,45.0,5.0,4.0,https://meileaf.com/p/tea-wjac/,"Soft to dry with a transforming, gentle juiciness.",Jasmine aroma with starfruit and fruit candy over a slate rockiness.,Thick with some mineral dryness.,Jasmine flowers and apple flavoured sweets.,Jasmine honey.,Jasmine ice cream and clove.,White Jasmine,172.0,0.27,86.0,White,90.0,30.0,180.0,3.0,0.0
72,Slightly excitable but easy going.,"Furry, slender thin buds and forest green medium leaves.",Light gold liquor.,Frog green and hazel leaves and yellow-lime buds.,5.0,25.0,7.0,3.0,https://meileaf.com/p/tea-wpyc/,Tingly and quenching with sweet juiciness.,"Lilac, green apple skin, warm honey and almond milk.",Soft syrupy and coating.,Hazelnut nougat and sundried hay.,"Honeysuckle flowers, bread and butter pudding.","Blueberry muffin, aloe and sorrel.",White Peony,550.0,0.25,88.0,White,95.0,30.0,120.0,3.0,0.0
73,"Gentle, warming and relaxing.","Buds and young leaves with a mix of colours (white, black, red, yellow and green).",Copper brown to a bright orange amber.,"Small leaves that are thick, strong and rigid with an even and shiny copper brown.",5.0,20.0,9.0,4.0,https://meileaf.com/p/tea-eboc/,"Soft with a subtle mineral grip to gentle, ambrosial honey sweetness.","Bright notes of elderflower, geranium and lychee and warmer notes of honey, rose and fermented overripe grapes. Mineral stone and wet wood structure.",Thick and velvety.,"Citronella, plums and cranberry cookies.",Dessert wine and a raw almond milkiness.,"Geranium, rose, lychee and dessert wine with a grounding woodiness.",Eastern Beauty Oolong,404.0,0.56,92.0,Oolong,90.0,30.0,120.0,4.0,0.0
74,Mind calming with and lightly energising.,"Very fine haired, two tone spiral, small leaves. Sunflower seed shell grey green and cream.",Light pickle juice green liquor.,Light succulent plant green buds and baby leaves.,5.0,25.0,5.0,3.0,https://meileaf.com/p/tea-grcc/,"Zingy and cooling, fresh juiciness.","Nashi pears, sticky rice and elderflower.",Thick and brothy.,Chocolate malted milk and buttered spinach.,Yellow apples and honey.,"Spinach pie, chestnuts, cured ham and asparagus.",Green Coil - Pre Qing Ming,311.0,0.23,86.0,Green,80.0,60.0,120.0,2.0,0.0
75,Mood enhancing.,Lichen green leaves.,Golden yellow.,Kiwi green and brown cut leaves.,5.0,15.0,5.0,1.0,https://meileaf.com/p/tea-olvc/,Fresh and dry to juicy.,"Sweet lemons, thyme and fresh grass.",Medium and fresh.,Apple mint aroma.,Mint and cooked green apple.,Lemon herbal lozenges.,Lemon Verbena,54.0,0.22,89.0,Tisanes,99.0,30.0,120.0,2.0,0.0
76,Simple and warming.,Silver beige and light khaki green balls.,Pale honey brown.,Unfurled floral display.,0.0,0.0,0.0,0.0,https://meileaf.com/p/tea-bloc/,Dry to juicy.,"Jasmine and minty, herbal sweetness.",Medium.,Summer grass.,Humid air with a touch of brown sugar.,Summer meadows,Blossoming Jewels,62.0,0.16,84.0,White,0.0,0.0,0.0,0.0,0.0
77,Warming and enlivening to perspiring coolness.,"Deep brown and golden tinged, straight buds and leaves.",Hibiscus tinged caramel brown liquor.,Maroon brown delicate young buds and leaves.,5.0,45.0,6.0,4.0,https://meileaf.com/p/tea-qmmc/,Cooling juiciness with slight hibiscus acidity and watermelon sweetness.,"Wintergreen, menthol, cardamom, sweet milk, dried mango, cocoa and wisteria.",Medium thick.,"Malt biscuits, poppy seeds, toasted coconut and cooked watermelon.",Dark baked cherry brownies and menthol.,"Dried cherries, crystallised ginger, dark chocolate, wintergreen.",Superior Keemun,190.0,0.3,89.0,Black,90.0,60.0,240.0,2.0,0.0
78,Soothing and cooling.,Small ochre and beige yellow flowers.,Pale golden ale.,Ochre brown flowers.,15.0,30.0,5.0,1.0,https://meileaf.com/p/tea-ochc/,Clean and dry.,Gentle floral sweetness with a slight fenugreek spice.,Soft and thin.,Sweet and warming.,Warm summer air.,Very sweet floral and porcini.,Chamomile Flowers,95.0,0.16,93.0,Tisanes,99.0,60.0,120.0,2.0,0.0
79,Calm and warming.,Acorn brown and white cut leaves.,Golden ale.,Almond skin brown cut leaves.,5.0,15.0,5.0,1.0,https://meileaf.com/p/tea-orac/,Light and fresh.,Light and herbaceous with a slight mintiness.,Very thin.,Fresh dry earthiness.,Extremely light dried grass aroma.,Earth and milky raw nuts.,Raspberry Leaf,25.0,0.04,79.0,Tisanes,99.0,30.0,120.0,2.0,0.0
80,Refreshing.,Rich dark sangria red flowers.,Rich redcurrant cordial.,Claret red flowers.,5.0,15.0,5.0,2.0,https://meileaf.com/p/tea-ohic/,Dry.,Sour berries and a fresh earthy foundation.,Thin.,Preserved plums.,Blackcurrants.,Plum orchards and rubber plantations.,Hibiscus Flowers,64.0,0.13,90.0,Tisanes,99.0,30.0,120.0,2.0,0.0
81,Balancing and grounding.,"Thick, layered, sage green buds with purple, maroon edges.",Pale green with a slightly pink hue.,Gradient of colours from beige green to auburn. Fat splayed buds.,5.0,30.0,8.0,4.0,https://meileaf.com/p/tea-pbuc/,Light grip with a sweet and creamy juiciness.,"Peach sherbet, elderflower and pine.","Medium, soft and lightly lubricating.","Elderflower, peach cordial and porcini.",Fresh cut dry wood and apricot puree.,Hard boiled peach sweets with fresh cut pine.,Purple Bud,283.0,0.21,87.0,White,90.0,60.0,240.0,2.0,0.0
82,Cleansing,Earthy green finely chopped leaves.,Golden brown.,Oxidised green leaves.,5.0,15.0,5.0,1.0,https://meileaf.com/p/tea-ontc/,Fresh and dry.,Paper and dried summer grass.,Soft and medium.,Dried grass pellets.,Slightly savoury with dark liquorice.,Wet forest and marine water.,Nettle,38.0,0.12,86.0,Tisanes,99.0,30.0,120.0,2.0,0.0
83,Relaxing.,Glistening orange orangutan brown cut leaves.,Burnt sugar caramel orange.,Orange brown small cut leaves.,15.0,30.0,5.0,2.0,https://meileaf.com/p/tea-oroc/,Very soft.,Vanilla wood and herbal cough syrup.,Thick and soft.,Cherry vanilla honey with eucalyptus freshness.,Warming honey.,Vanilla and honey.,Rooibos,55.0,100.0,87.0,Tisanes,99.0,60.0,120.0,2.0,0.0
84,Awakening and refreshing.,Ruby black medium size leaves.,Oxidised sherry amber.,Strong and thick russet brown medium leaves.,5.0,15.0,8.0,4.0,https://meileaf.com/p/tea-rrbc/,Short and dry with lingering vapors of camphor.,Camphor cough sweets with sugar cane and cinnamon sweetness leading to a quenching minerality.,"Light, refreshing and smooth.","Lilacs, dark cocoa and eucalyptus.",Dry sour cherries and pine resin.,"Camphor, wintergreen with a lilac, cinnamon sweetness.",Ruby Black,536.0,0.25,88.0,Black,95.0,60.0,120.0,4.0,0.0
85,Bright and slightly high with initial heating then cooling effects.,Even rolled blue green matt leaves with very few stems.,Green grape juice.,Antique green leather medium matt leaves with hints of auburn.,5.0,25.0,7.0,6.0,https://meileaf.com/p/tea-jjoc/,Dry with a tingling physical puckering.,Jasmine start with light cream moving to green bitters and a fresh vine tomato tang.,Medium body and gently lubricating.,"Pineapple, strawberries and tomato vines.","Shortbread biscuits, apricots and jasmine.",Jasmine syrup and pineapple juice.,Jasmine Jade Oolong,161.0,0.12,83.0,Oolong,99.0,30.0,120.0,3.0,1.0
86,"Calm, creative and expressive.",Charcoal black and copper brown balls with nice shine.,Burnt Orange.,Large dark olive leaves with fine textured skin and an oily shine.,5.0,20.0,12.0,6.0,https://meileaf.com/p/tea-rgoc/,"Transformation from astringent to juicy, tingling and sweet finish.",Burnt coconut and pine with a rosehip acidity and lingering eucalyptus sweetness.,Medium body and refreshing,"Charcoal, roasted pine and nuts.",Dark chocolate and soy sauce.,"Fresh shaved pencils, dark roast coconut and coffee beans with a gentle dark soy savouriness.",Ruby Gaba,406.0,0.24,87.0,Oolong,99.0,30.0,120.0,5.0,1.0
87,Heating and stimulating.,Taupe brown ball rolled leaves.,Clear honey.,Camouflage green medium leaves.,5.0,20.0,10.0,6.0,https://meileaf.com/p/tea-fsoc/,Very long and juicy finish.,"Brown butter, cannabis and grapefruit bitters.","Medium, lubricating and juicy.",Charcoal and oranges.,Custard apple and butter.,Dark baked biscuits and spiced poached pears.,Frozen Summit Oolong,416.0,0.33,89.0,Oolong,99.0,30.0,120.0,5.0,1.0
88,Soothing and cooling.,"Blend of khaki leaves, beige green stalks and pink petals.",Rose gold.,"Blend of army green leaves, petals and beige lemongrass.",10.0,20.0,8.0,4.0,https://meileaf.com/p/tea-fscc/,Soft and clean.,Herbaceous minty sweet nut milk.,Thin to medium with a soft texture.,Sweet date with herbaceous pepperiness.,"Rose, lemongrass and red dates.",Warm almond milk and honey.,Sweet Cheeks,43.0,0.22,86.0,Blend,99.0,30.0,120.0,3.0,0.0
89,Satisfying yet light - a great palate cleanser.,Orangutan orange and black brown leaves.,Cognac auburn.,Rich conker brown.,5.0,20.0,15.0,4.0,https://meileaf.com/p/tea-feec/,Coating and slightly dry leading to juicy.,Contrast of cooling minty citrus and warming vanilla whisky.,Filling and clean.,"Vanilla mint, bergamot and chocolate.",Salted toffees.,"Citrus, vanilla and cherry wood.",Empress And The Earl,40.0,0.12,92.0,Blend,95.0,30.0,120.0,3.0,0.0
90,"Ultra calming, cooling yet uplifting.","Multicoloured pastels of lavender, pale yellow and dusky pinks.",Rich marigold yellow.,"Pale greens, browns and rose blended tisanes.",3.0,5.0,5.0,2.0,https://meileaf.com/p/tea-fphc/,Bright and aromatic with a bittersweet finish.,"Potent mix of sweet, summer flowers with a pleasant soapiness and a satisfying bitter finish.",Thin and dry.,"Lavender, osmanthus and honey.","Osmanthus, lemon and lavender.",Bright and floral with fresh rosemary.,Petal Heads,15.0,0.19,92.0,Blend,95.0,60.0,120.0,2.0,0.0
91,Enchanting and high.,Purple tinged black leaves and spice mix.,Light and cloudy prune juice.,Copper brown leaves.,5.0,10.0,8.0,5.0,https://meileaf.com/p/tea-fchc/,"Soft, smooth and a little analgesic.","Sweet tea, cinnamon and peppery spices.","Thick, soft and very smooth.",Chocolate and freshly ground chai spices.,Rich sweet spices.,Sweet spice market stall and chocolate.,Chai High,59.0,0.08,89.0,Blend,90.0,60.0,120.0,4.0,0.0
92,"Indulgent, comforting and calming satisfaction.","Small rolled, matt taupe brown leaves.",Whisky gold.,"Taupe brown and glossy, medium leaves.",5.0,20.0,10.0,6.0,https://meileaf.com/p/tea-msnc/,"Dry transforming to tingling, minty juiciness.","Roasted nuts, crème brulee and pandan leaves.",Thick and coating.,Carob and nougat.,"Burnt caramel, hazelnuts and custard.","Chocolate malt milkshake, pecans and dried mulberries.",Midnight Sun,402.0,0.21,87.0,Oolong,99.0,30.0,120.0,5.0,1.0
93,Refreshing and uplifting. Stimulates gentle and cooling perspiration.,Tightly rolled black grey oolong with premium sorting.,Dark and almost purple hue.,Black and oily.,5.0,25.0,10.0,6.0,https://meileaf.com/p/tea-amgc/,Clean finish without any bitterness or astringency. Like drinking smooth mountain water.,"Deep roasted flavour with hot stone, tarmac and dark coffee. Fleeting spices like black cardamom, antique wood and a predominant nuttiness. Slight animal funkiness to it too.",Super smooth and soft mouthfeel and very clean finish.,Nutty and scorched aroma with coffee similarities.,Warm coffee and black liquorice.,Powerful tarry and liquorice aroma with deep spiciness.,Amethyst Gaba,434.0,100.0,86.0,Oolong,99.0,30.0,120.0,5.0,1.0
94,N/A,N/A,N/A,N/A,60.0,180.0,2.0,1.0,https://meileaf.com/p/bld-eigc/,N/A,N/A,N/A,N/A,N/A,N/A,Treasure,14.0,100.0,85.0,Blend,99.0,,,,
95,N/A,N/A,N/A,N/A,60.0,180.0,2.0,1.0,https://meileaf.com/p/bld-hrtc/,N/A,N/A,N/A,N/A,N/A,N/A,Heart,6.0,100.0,93.0,Blend,99.0,,,,
96,N/A,N/A,N/A,N/A,60.0,180.0,2.0,1.0,https://meileaf.com/p/bld-natc/,N/A,N/A,N/A,N/A,N/A,N/A,Glow,12.0,100.0,77.0,Blend,99.0,,,,
97,N/A,N/A,N/A,N/A,60.0,180.0,2.0,1.0,https://meileaf.com/p/bld-perc/,N/A,N/A,N/A,N/A,N/A,N/A,Calm,19.0,100.0,89.0,Blend,99.0,,,,
98,N/A,N/A,N/A,N/A,60.0,180.0,2.0,1.0,https://meileaf.com/p/bld-tumc/,N/A,N/A,N/A,N/A,N/A,N/A,Digestion,23.0,100.0,92.0,Blend,99.0,,,,
99,N/A,N/A,N/A,N/A,60.0,180.0,2.0,1.0,https://meileaf.com/p/bld-vitc/,N/A,N/A,N/A,N/A,N/A,N/A,Cleanse,15.0,100.0,87.0,Blend,99.0,,,,
100,N/A,N/A,N/A,N/A,60.0,180.0,2.0,1.0,https://meileaf.com/p/bld-wgtc/,N/A,N/A,N/A,N/A,N/A,N/A,Contour,17.0,100.0,84.0,Blend,99.0,,,,
101,N/A,N/A,N/A,N/A,60.0,180.0,2.0,2.0,https://meileaf.com/p/bld-wirc/,N/A,N/A,N/A,N/A,N/A,N/A,Sniffles,14.0,100.0,89.0,Blend,99.0,,,,
102,N/A,N/A,N/A,N/A,60.0,180.0,2.0,1.0,https://meileaf.com/p/bld-brec/,N/A,N/A,N/A,N/A,N/A,N/A,Breathe,17.0,100.0,85.0,Blend,99.0,,,,
103,Warm and satisfying.,"Large, whole, twisted prune brown leaves.",Verjus orange.,Lustrous and metallic mud green leaves.,10.0,25.0,8.0,5.0,https://meileaf.com/p/tea-bedc/,"Intense hum of mineral physicality with flooding, full mouth juiciness.","Asian pear, dark fudge, slate, viburnum flowers and a touch of cough syrup.","Medium thick, starting silky to crunchy.","Mocha, butterscotch and dried cherries.",Milk coffee caramel.,"Oxidised apple, strawberry jam, cherry oat cookies and new car.",Lost Robe,399.0,0.38,89.0,Oolong,99.0,30.0,120.0,3.0,1.0
104,Mild and refreshing.,"Lime green dusted brown rice, puffed rice and young leaves.",Kiwi flesh green on first infusion moving to starfruit green.,"Small, beige and brown puffed rice with young, fern green leaves.",10.0,15.0,5.0,6.0,https://meileaf.com/p/tea-gmmc/,Slightly drying with a sweet green apple skin sour sweetness.,Soy sauce covered rice crackers and fresh cut green grass with a rich umami savoury sweetness.,Medium bodied moving to refreshing.,Wasabi peas and dried seaweed snacks.,Burnt oat and raisin cookies.,BBQ burnt soy glazed sweetcorn.,Genmai Matcha,200.0,0.14,89.0,Blend,80.0,30.0,120.0,2.0,1.0
105,Bright energy.,Seaweed and bright green rolled leaves.,Pinot gris yellow.,Khaki green leaves.,5.0,25.0,7.0,6.0,https://meileaf.com/p/tea-sipc/,Cooling sweet juiciness.,"Honeysuckle, nougat and lemon oil.",Medium.,Apple kombucha and cream soda.,Flowery face cream.,"Lemon curd, frangipani and marseille soap.",Sip Spring,214.0,0.28,90.0,Oolong,99.0,30.0,120.0,3.0,1.0
106,Excitable.,Currant brown ball rolled leaves.,Whisky gold liquor.,"Evenly baked, kelp green medium leaves.",5.0,25.0,9.0,5.0,https://meileaf.com/p/tea-bakc/,Dry to flooding sugar-sweet juiciness.,"Vanilla,magnolia, cherrywood and mangosteen.",Soft and thick.,"Dark baked, vanilla, butter cookies, rolling tobacco and rum.",Alphonso mango and vanilla fudge.,Cherry syrup drizzled butter flapjacks.,Baked Goods,430.0,0.19,87.0,Oolong,95.0,30.0,120.0,3.0,0.0
107,Bright and warming.,"White edged, raisin black and cannabis green tinged leaves.",Light whisky gold resin liquor.,"Vibrant, bronze flecked olive green leaves",3.0,20.0,7.0,5.0,https://meileaf.com/p/tea-bfpc/,Extremely dry and puckering switching to juiciness.,Rice pudding and morello cherry jam. Sweet orchids with a wood resin aftertaste.,Light to medium body and quenching.,"Raisin cookies, vanilla and orchids.",Vanilla cream and ripe mangosteen.,"Boiled cherry sweets, yellow roses, banana, mangosteen and buttery filo pastry.",Black Fruit Punch,387.0,100.0,87.0,Oolong,95.0,30.0,120.0,3.0,0.0
108,Gently lifting.,"Dark forest green, curled, young leaves.",Melon green liquor.,"Delicate lime green, buds and young leaves",5.0,25.0,7.0,3.0,https://meileaf.com/p/tea-cllc/,Vaporous and milky moving to cooling and juicy.,"Sugared adzuki beans, honeydew melon, lemon oil and a touch of saffron.",Soft and thick.,"Chocolate fondant, caraway and red beans.",Nashi pear and sugar syrup.,"Candied chestnuts, savoury beans and chocolate cake frosting.",Cloud Lake,157.0,0.13,86.0,Green,80.0,30.0,120.0,2.0,0.0
109,"Gentle, bright and calming.","Pastel green, cream, gold and pink hued furry, thick layered buds.",Ultra pale green apple liquor.,"Layered gold and green tipped, cone shape buds.",5.0,20.0,8.0,4.0,https://meileaf.com/p/tea-elwc/,Refreshing with a ginger spiciness.,"Elderflower, pine, avocado and fresh apricots.",Soft medium.,"Nutmeg, gooseberry and clay pottery workshops.",Talcum and vanilla icing sugar.,"Fresh cut wood, dried apricots and marzipan.",Elder White,498.0,100.0,86.0,White,95.0,60.0,120.0,3.0,0.0
110,Bright calm feeling,Yellow and moss green buds and bud and one leaf.,"Bright, pale yellow diamonds.",Clay green plump buds and young leaves.,15.0,120.0,5.0,3.0,https://meileaf.com/p/tea-junc/,"Smooth with fragrant, fruity tanginess.","Mountain snow, guava, starfruits and sweetcorn.",Medium and smooth.,Malted barley and chocolate covered hazelnuts.,Apricot jam.,Cooked spinach and gooseberry fools.,Diamond Peak,394.0,100.0,86.0,Yellow,75.0,60.0,240.0,2.0,0.0
111,Cleansing digestif.,"Pale, lime juice green furry stalks and leaves with small, light yellow flowers.",Golden green liquor.,"Shiny, lime juice green stalks and flowers with small black seeds.",15.0,45.0,5.0,1.0,https://meileaf.com/p/tea-gmtc/,Lubricating with a eucalyptus freshness.,"Rhubarb, sage and chrysanthemum with orange zest and nectar sweetness.",Thick and gummy.,"Oregano, thyme and orange zest with frankincense.",Black liquorice toffee.,Rhubarb and hay.,Greek Olympus Tisane,96.0,100.0,89.0,Tisanes,99.0,30.0,180.0,2.0,0.0
112,Chilled out and conversational.,Light and twisted olive black and raisin brown leaves with a slight sheen.,Burnt orange.,Dark khaki and russet brown large leaves.,10.0,20.0,7.0,5.0,https://meileaf.com/p/tea-sjgc/,"Rich and cooling Yan Yun, flooding juiciness and sweet orange vapour.","Orange candy, leather, cherrywood and vanilla fudge.",Thick minerality.,"Salted almond caramel, flapjacks, cooked apples.",Dried cherry flapjack and frankincense.,"Pine, vanilla, strawberries, black cherry yogurt and fresh laundry.",Golden Turtle,198.0,0.57,89.0,Oolong,99.0,30.0,120.0,4.0,0.0
113,"Calm, settled and slightly warming.",Claret khaki rolled leaves and red grape skin stems.,Light apricot orange.,Amphibian green leaves with chestnut red edges and stems.,5.0,20.0,10.0,6.0,https://meileaf.com/p/tea-tdtc/,Mineral with a sweet and zesty lingering aftertaste of guava and lime gummies.,"Green jelly babies, coconut, creme fraiche and mangosteen moving to apricot jam.",Viscous and soft.,Raisin oatmeal biscuits.,"Honey, lime and cinnamon waffles.","Coconut cake, oregano, guava and aloe vera.",Shifu's Pudding,132.0,0.63,93.0,Oolong,99.0,30.0,120.0,3.0,1.0
